text_unit_id,1st_element
論語集註大全-爲政-11-01,"<canon id=""論語-爲政-11-01"">○子曰：「溫故而知新，可以爲師矣。」</canon>"
論語集註大全-爲政-12-01,"<canon id=""論語-爲政-12-01"">○子曰：「君子不器。」</canon>"
論語集註大全-爲政-13-01,"<canon id=""論語-爲政-13-01"">○子貢問君子。子曰：「先行其言，而後從之。」</canon>"
論語集註大全-爲政-14-01,"<canon id=""論語-爲政-14-01"">○子曰：「君子周而不比，小人比而不周。」</canon>"
論語集註大全-爲政-15-01,"<canon id=""論語-爲政-15-01"">○子曰：「學而不思則罔，思而不學則殆。」</canon>"
論語集註大全-爲政-16-01,"<canon id=""論語-爲政-16-01"">○子曰：「攻乎異端，斯害也已。」</canon>"
論語集註大全-爲政-17-01,"<canon id=""論語-爲政-17-01"">○子曰：「由！誨女知之乎！知之爲知之，不知爲不知，是知也。」</canon>"
論語集註大全-爲政-18-01,"<canon id=""論語-爲政-18-01"">○子張學干祿。</canon>"
論語集註大全-爲政-18-02,"<canon id=""論語-爲政-18-02"">子曰：「多聞闕疑，愼言其餘，則寡尤；多見闕殆，愼行其餘，則寡悔。言寡尤，行寡悔，祿在其中矣。」</canon>"
論語集註大全-爲政-19-01,"<canon id=""論語-爲政-19-01"">○哀公問曰：「何爲則民服？」孔子對曰：「擧直錯諸枉，則民服；擧枉錯諸直，則民不服。」</canon>"
論語集註大全-爲政-20-01,"<canon id=""論語-爲政-20-01"">○季康子問：「使民敬忠以勸，如之何？」子曰：「臨之以莊則敬，孝慈則忠，擧善而敎不能則勸。」</canon>"
論語集註大全-爲政-21-01,"<canon id=""論語-爲政-21-01"">○或謂孔子曰：「子奚不爲政？」</canon>"
論語集註大全-爲政-21-02,"<canon id=""論語-爲政-21-02"">子曰：「書云：『孝乎惟孝，友于兄弟，施於有政。』是亦爲政，奚其爲爲政？」</canon>"
論語集註大全-爲政-22-01,"<canon id=""論語-爲政-22-01"">○子曰：「人而無信，不知其可也。大車無輗，小車無軏，其何以行之哉？」</canon>"
論語集註大全-爲政-23-01,"<canon id=""論語-爲政-23-01"">○子張問：「十世可知也？」</canon>"
論語集註大全-爲政-23-02,"<canon id=""論語-爲政-23-02"">子曰：「殷因於夏禮，所損益可知也；周因於殷禮，所損益可知也；其或繼周者，雖百世可知也。」</canon>"
論語集註大全-爲政-24-01,"<canon id=""論語-爲政-24-01"">○子曰：「非其鬼而祭之，諂也。</canon>"
論語集註大全-爲政-24-02,"<canon id=""論語-爲政-24-02"">見義不爲，無勇也。」</canon>"
論語集註大全-八佾,"<heading id=""論語-八佾"">論語集註大全 / 八佾</heading>"
論語集註大全-八佾-01-01,"<canon id=""論語-八佾-01-01"">○孔子謂季氏：「八佾舞於庭，是可忍也，孰不可忍也？」</canon>"
論語集註大全-八佾-02-01,"<canon id=""論語-八佾-02-01"">○三家者以雍徹。子曰：「『相維辟公，天子穆穆』，奚取於三家之堂？」</canon>"
